06:39:24.894 [main] INFO  o.s.b.t.a.w.s.WebMvcTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bank.account.controller.AcctTxnControllerTest], using SpringBootContextLoader
06:39:24.911 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.bank.account.controller.AcctTxnControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
06:39:24.913 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bank.account.controller.AcctTxnControllerTest]: AcctTxnControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
06:40:39.649 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bank.account.controller.AcctTxnControllerTest], using SpringBootContextLoader
06:40:39.661 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.bank.account.controller.AcctTxnControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
06:40:40.035 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
06:40:40.058 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@cdc3aae, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7ef2d7a6, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5dcbb60, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4c36250e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@21526f6c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49f5c307, org.springframework.test.context.transaction.TransactionalTestExecutionListener@299266e2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5471388b, org.springframework.test.context.event.EventPublishingTestExecutionListener@66ea1466, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1601e47, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3bffddff, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@66971f6b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@50687efb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@517bd097, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@142eef62]
06:40:40.748 [main] INFO  c.b.a.c.AcctTxnControllerTest - Starting AcctTxnControllerTest using Java 16.0.2 on DESKTOP-Q9BB2S8 with PID 10152 (started by Dell in D:\bank)
06:40:40.746 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
06:40:40.755 [main] INFO  c.b.a.c.AcctTxnControllerTest - No active profile set, falling back to default profiles: default
06:40:42.392 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
06:40:42.480 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 72 ms. Found 3 JPA repository interfaces.
06:40:44.398 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheConfig' of type [com.bank.account.config.CacheConfig$$EnhancerBySpringCGLIB$$a77e92a9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
06:40:44.709 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
06:40:44.999 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
06:40:45.224 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
06:40:45.315 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
06:40:45.380 [main] WARN  org.hibernate.orm.deprecation - HHH020100: The Ehcache second-level cache provider for Hibernate is deprecated.  See https://hibernate.atlassian.net/browse/HHH-12441 for details.
06:40:45.400 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
