00:02:25.390 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wallet.controller.AcctTxnControllerTest], using SpringBootContextLoader
00:02:25.408 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wallet.controller.AcctTxnControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
00:02:25.753 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
00:02:25.775 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2fab4aff, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@ec0c838, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6e46d9f4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5cc69cfe, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@29cfd92b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@21c64522, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7997b197, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@11dee337, org.springframework.test.context.event.EventPublishingTestExecutionListener@460f76a6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@55f3c410, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@11acdc30, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@770d4269, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a8ab068, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1922e6d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@76a82f33]
00:02:26.503 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
00:02:26.510 [main] INFO  c.w.controller.AcctTxnControllerTest - Starting AcctTxnControllerTest using Java 16.0.2 on DESKTOP-Q9BB2S8 with PID 3216 (started by Dell in D:\bank)
00:02:26.516 [main] INFO  c.w.controller.AcctTxnControllerTest - No active profile set, falling back to default profiles: default
00:02:28.328 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
00:02:28.448 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 108 ms. Found 3 JPA repository interfaces.
00:02:30.179 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheConfig' of type [com.wallet.config.CacheConfig$$EnhancerBySpringCGLIB$$c36a44a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
00:02:30.417 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
